Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,company_ticker
2021-11-29 00:00:00-05:00,37.999259145504936,38.164937632243294,37.69616090503465,38.09184265136719,38700,0.0,0.0,0.0,USXF
2021-11-30 00:00:00-05:00,37.88230662386686,37.9017988670992,37.11725373638246,37.17085647583008,75200,0.0,0.0,0.0,USXF
2021-12-01 00:00:00-05:00,37.62891162517619,37.75560933628618,36.61533737182617,36.61533737182617,75700,0.0,0.0,0.0,USXF
2021-12-02 00:00:00-05:00,36.72254294800709,37.45348527783563,36.654321961310956,37.31704330444336,70100,0.0,0.0,0.0,USXF
2021-12-03 00:00:00-05:00,37.36578077678612,37.36578077678612,36.450641569135925,36.85899353027344,60500,0.0,0.0,0.0,USXF
2021-12-06 00:00:00-05:00,36.99542914831805,37.26831682949012,36.683560699348696,37.151363372802734,108800,0.0,0.0,0.0,USXF
2021-12-07 00:00:00-05:00,37.697127421671624,38.116201262614695,37.697127421671624,38.03433609008789,81400,0.0,0.0,0.0,USXF
2021-12-08 00:00:00-05:00,38.11620731967833,38.16493606567383,37.90179637598013,38.16493606567383,70800,0.0,0.0,0.0,USXF
2021-12-09 00:00:00-05:00,38.12595209864678,38.12595209864678,37.74586266985799,37.78776931762695,59800,0.0,0.0,0.0,USXF
2021-12-10 00:00:00-05:00,38.03823762685801,38.11620659317671,37.82285263283228,38.082096099853516,102800,0.0,0.0,0.0,USXF
2021-12-13 00:00:00-05:00,38.07134216990455,38.07134216990455,37.77811050415039,37.77811050415039,54600,0.114,0.0,0.0,USXF
2021-12-14 00:00:00-05:00,37.41645622513652,37.58262320481232,37.002021273403436,37.308937072753906,50800,0.0,0.0,0.0,USXF
2021-12-15 00:00:00-05:00,37.348038276518906,38.0322480622888,37.18187501368627,38.013675689697266,43800,0.0,0.0,0.0,USXF
2021-12-16 00:00:00-05:00,38.21795399771251,38.21795399771251,37.39690314240561,37.52397155761719,96600,0.0,0.0,0.0,USXF
2021-12-17 00:00:00-05:00,37.2698495968339,37.57285410930521,37.045038474191244,37.230751037597656,64000,0.0,0.0,0.0,USXF
2021-12-20 00:00:00-05:00,36.765484659057456,36.81044837201984,36.47616428891042,36.751800537109375,90800,0.0,0.0,0.0,USXF
2021-12-21 00:00:00-05:00,37.12322180481139,37.543521881103516,36.917960017406244,37.543521881103516,136900,0.0,0.0,0.0,USXF
2021-12-22 00:00:00-05:00,37.5337557471923,37.8856315612793,37.475107913856064,37.8856315612793,74800,0.0,0.0,0.0,USXF
2021-12-23 00:00:00-05:00,37.99315092055717,38.198416473970205,37.99315092055717,38.11142349243164,72700,0.0,0.0,0.0,USXF
2021-12-27 00:00:00-05:00,38.217958871890744,38.70667959264967,38.217958871890744,38.686153411865234,88100,0.0,0.0,0.0,USXF
2021-12-28 00:00:00-05:00,38.73599834484589,38.79855378036885,38.54539759661544,38.58253860473633,126300,0.0,0.0,0.0,USXF
2021-12-29 00:00:00-05:00,38.65780419872799,38.755550569780816,38.569834329101845,38.687129974365234,66200,0.0,0.0,0.0,USXF
2021-12-30 00:00:00-05:00,38.81420251245897,38.838640042324435,38.550292850214895,38.5620231628418,46100,0.0,0.0,0.0,USXF
2021-12-31 00:00:00-05:00,38.60893698292062,38.66758481178851,38.47209577753875,38.550289154052734,38900,0.0,0.0,0.0,USXF
2022-01-03 00:00:00-05:00,38.52096873536487,38.639237573984296,38.159316430304344,38.36457824707031,69600,0.0,0.0,0.0,USXF
